"Buurten";"Personenauto's overige brandstof|2013";"Personenauto's overige brandstof|2014";"Personenauto's overige brandstof|2015";"Personenauto's overige brandstof|2016";"Personenauto's overige brandstof|2017";"Personenauto's overige brandstof|2018";"Personenauto's overige brandstof|2019";"Personenauto's overige brandstof|2020";"Personenauto's overige brandstof|2021";"Personenauto's overige brandstof|2022"
"Achtse Barrier-Gunterslaer";295;295;305;305;300;295;320;315;320;350
"Achtse Barrier-Hoeven";335;325;295;295;305;305;290;265;295;285
"Achtse Barrier-Spaaihoef";430;410;400;385;370;375;370;375;350;375
"Barrier";135;125;140;125;120;120;105;105;115;110
"BeA2";5;5;5;5;10;5;5;5;5;5
"Beemden";5;10;10;10;10;15;20;20;20;15
"Bennekel-Oost";215;190;175;160;165;175;185;205;195;185
"Bennekel-West, Gagelbosch";180;175;170;170;175;165;165;155;160;170
"Bergen";235;260;260;265;265;275;290;275;275;260
"Binnenstad";325;370;650;740;765;485;465;485;465;460
"Blaarthem";155;135;135;130;125;135;135;145;140;135
"Blixembosch-Oost";560;560;565;565;605;625;650;650;685;710
"Blixembosch-West";175;190;190;195;180;190;185;175;180;200
"Bloemenplein";70;70;70;60;60;55;50;55;60;70
"Bokt";15;15;15;10;10;15;15;15;15;15
"Bosrijk";35;45;40;35;40;40;40;35;40;50
"Burghplan";185;190;210;195;195;190;190;180;170;160
"CastiliÃ«laan";15;15;15;15;20;25;20;15;15;15
"Doornakkers-Oost";230;205;195;180;175;185;185;175;175;155
"Doornakkers-West";255;220;225;215;200;215;230;230;235;215
"Drents Dorp";125;125;165;165;170;160;165;185;140;145
"Driehoeksbos";110;105;95;95;100;90;105;115;120;130
"Eckart";235;220;235;210;225;225;250;240;230;230
"Eckartdal";0;0;0;0;5;5;5;0;5;5
"Eikenburg";145;145;145;165;170;165;170;160;165;175
"Eindhoven Airport";0;0;0;0;0;0;0;0;0;0
"Eliasterrein, Vonderkwartier";220;225;215;215;195;185;180;195;185;180
"Elzent-Noord";95;110;115;115;125;120;130;125;120;130
"Elzent-Zuid";20;25;25;30;35;50;50;60;55;55
"Engelsbergen";90;85;85;100;95;105;95;65;85;85
"Esp";50;50;60;70;90;95;85;85;65;60
"Fellenoord";10;20;25;20;20;20;30;25;25;40
"Flight Forum";145;160;170;170;150;165;170;155;125;110
"Genderbeemd";275;255;270;275;280;285;305;305;325;340
"Genderdal";165;170;165;150;160;165;150;125;140;140
"Generalenbuurt";385;360;340;305;310;315;340;335;320;315
"Gennep";5;5;5;5;5;5;5;5;5;5
"Genneperzijde";90;90;90;95;115;115;105;110;110;120
"Gerardusplein";200;215;215;210;230;230;215;230;225;245
"Gijzenrooi";185;180;185;185;185;185;180;180;195;205
"Gildebuurt";85;80;80;85;90;95;85;70;65;85
"Grasrijk";380;380;360;390;435;470;470;460;490;525
"Hagenkamp";40;40;30;35;30;45;35;30;40;35
"Hanevoet";220;205;205;195;205;210;210;230;230;240
"Heesterakker";215;200;190;190;205;205;205;250;230;230
"Hemelrijken";200;180;170;185;170;165;170;160;185;190
"Herdgang";0;0;0;0;0;5;5;5;5;5
"Het Ven";265;255;230;225;235;230;230;215;225;225
"Hondsheuvels";5;5;5;0;0;0;0;5;5;5
"Hurk";235;250;255;315;320;350;335;325;325;295
"Irisbuurt";185;195;195;210;200;200;205;210;215;230
"Jagershoef";155;150;150;150;155;140;155;160;160;170
"Joriskwartier";65;55;70;75;70;70;70;75;70;80
"Kapelbeemd";95;90;105;95;110;115;100;90;110;125
"Karpen";55;65;70;65;65;65;75;75;75;75
"Kerkdorp Acht";345;335;330;330;345;360;360;355;355;375
"Kerstroosplein";115;115;110;110;110;100;100;115;110;100
"Koudenhoven";35;50;50;45;45;55;55;55;60;60
"Kronehoef";200;190;190;190;200;205;185;190;210;235
"Kruidenbuurt";190;185;180;170;165;165;175;155;170;185
"Lakerlopen";230;210;210;230;225;230;235;210;215;225
"Leenderheide";0;0;0;0;0;0;0;0;0;0
"Lievendaal";160;150;140;135;150;170;165;170;175;165
"Limbeek-Noord";140;140;140;120;140;135;120;80;120;105
"Limbeek-Zuid";50;50;50;60;60;65;55;95;55;65
"Looiakkers";45;35;35;40;45;50;55;40;55;60
"Luytelaer";100;95;100;100;105;105;105;110;120;135
"Meerbos";5;10;5;5;10;5;5;5;5;5
"Meerrijk";10;20;35;40;40;45;55;55;60;75
"Mensfort";230;205;190;180;190;200;195;210;190;190
"Mispelhoef";75;85;90;95;100;100;100;105;105;100
"Muschberg, Geestenberg";295;260;260;250;245;250;260;270;260;270
"Nieuwe Erven";55;60;50;45;50;45;50;45;30;45
"Ooievaarsnest";80;80;75;80;80;85;90;100;110;115
"Oude Gracht-Oost";105;115;110;110;110;110;105;115;120;130
"Oude Gracht-West";190;185;175;160;160;150;155;140;145;150
"Oude Spoorbaan";135;130;125;135;125;125;120;120;105;110
"Oude Toren";80;75;70;70;75;75;75;75;85;80
"Park Forum";5;5;5;5;5;5;10;10;20;15
"Philipsdorp";130;180;170;175;165;180;185;175;150;160
"Poeijers";50;40;25;0;0;0;0;0;0;0
"Prinsejagt";280;275;275;270;260;260;245;245;245;255
"Puttense Dreef";100;100;105;115;120;120;110;120;130;135
"Rapelenburg";55;45;45;45;50;50;45;60;60;60
"Rapenland";320;350;275;235;210;205;180;155;175;160
"Riel";15;20;20;20;15;20;20;20;25;25
"Rochusbuurt";80;70;85;70;75;90;100;90;90;85
"Roosten";80;85;80;80;80;90;85;85;80;90
"Schoot";170;165;160;165;165;150;155;155;150;155
"Schouwbroek";85;80;80;80;80;90;85;85;85;80
"Schrijversbuurt";255;265;255;250;260;270;260;270;270;265
"Schuttersbosch";45;45;45;45;50;55;55;60;75;85
"Sintenbuurt";115;115;120;110;105;105;100;100;90;105
"Sportpark Aalsterweg";5;0;0;5;0;0;5;10;5;5
"Strijp S";20;50;65;75;80;120;130;140;150;160
"'t Hofke";255;230;210;220;190;195;220;210;215;230
"'t Hool";160;160;145;145;140;145;145;150;150;140
"Tempel";355;325;330;325;325;320;310;290;320;320
"Tivoli";90;75;55;55;55;55;55;60;55;55
"Tongelresche Akkers";55;55;65;70;80;80;85;85;120;155
"Tuindorp";190;195;200;195;190;195;175;180;185;195
"TU-terrein";20;20;20;15;20;20;20;15;10;10
"Urkhoven";20;20;15;15;15;15;15;25;15;15
"Vaartbroek";350;350;325;315;305;305;290;280;270;285
"Villapark";160;160;170;180;200;205;205;220;230;240
"Vlokhoven";240;210;215;225;215;205;210;210;185;170
"Vredeoord";0;5;5;5;10;15;10;10;10;15
"Waterrijk";70;75;75;80;85;105;125;150;175;220
"Wielewaal";10;15;15;15;20;20;25;20;25;25
"Winkelcentrum";45;45;40;45;40;40;35;35;45;45
"Witte Dame";545;540;625;610;600;755;665;110;120;120
"Woenselse Heide";425;385;400;480;460;435;430;465;490;545
"Woenselse Watermolen";75;70;65;60;70;85;85;75;80;70
"Woensel-West";270;230;205;205;205;175;170;190;205;225
"Zandrijk";230;220;235;230;225;235;255;245;245;265
"Zwaanstraat";0;20;25;30;40;70;85;90;135;415
